1,247032,,,1,244243,,1,231576
2,214764,,,2,191560,,2,163527
5,21386,,,5,18641,,5,9527
3,11351,,,3,1135,,3,108
4,2519,,,4,250,,4,25
6,1152,,,6,114,,6,10
7,287,,,7,28,,7,2
8,250,,,8,25,,8,2
