0,0,0,,,0,8
1,2302.17288664,2302.1,,,2.6,1
2,1213.92384898,1213.9,,,2.8,1
3,1193.95986792,1193.9,,,3.6,1
4,1152.12774774,1152.1,,,4,1
5,1130.61988897,1130.6,,,4.3,1
6,1001.07971811,1001,,,4.4,1
7,791.577921848,791.5,,,5,1
8,591.293005312,591.2,,,5.5,2
9,442.423250518,442.4,,,5.6,5
10,345.344696511,345.3,,,5.7,4
11,283.095069549,283,,,5.8,4
12,241.71503712,241.7,,,5.9,5
13,208.994101614,208.9,,,6,4
14,181.78260996,181.7,,,6.1,4
15,160.402727977,160.4,,,6.2,3
16,143.486661017,143.4,,,6.3,3
17,129.797450488,129.7,,,6.4,4
18,118.499993309,118.4,,,6.5,3
19,109.007676037,109,,,6.6,3
20,100.924106774,100.9,,,6.7,3
21,93.9466720997,93.9,,,6.8,4
22,87.8751807121,87.8,,,6.9,4
23,82.5564831765,82.5,,,7,2
24,77.8383658175,77.8,,,7.1,3
25,73.6282378126,73.6,,,7.2,3
26,69.852331572,69.8,,,7.3,2
27,66.4409455233,66.4,,,7.4,4
28,63.3444311196,63.3,,,7.5,2
29,60.5310174241,60.5,,,7.6,3
30,57.9397824003,57.9,,,7.7,3
31,55.5689402071,55.5,,,7.8,2
32,53.387637154,53.3,,,7.9,2
33,51.3721133768,51.3,,,8,2
34,49.4997224203,49.4,,,8.1,2
35,47.7644715713,47.7,,,8.2,2
36,46.1442573863,46.1,,,8.3,5
37,44.6275512544,44.6,,,8.4,2
38,43.2109906772,43.2,,,8.5,2
39,41.8830061985,41.8,,,8.6,2
40,40.6319573376,40.6,,,8.7,2
41,39.453264511,39.4,,,8.8,1
42,38.3431632166,38.3,,,8.9,2
43,37.2896628121,37.2,,,9,2
44,36.2912308884,36.2,,,9.1,1
45,35.3514553613,35.3,,,9.2,3
46,34.4547536515,34.4,,,9.3,2
47,33.6044050986,33.6,,,9.4,2
48,32.7985152732,32.7,,,9.5,1
49,32.0280878762,32,,,9.6,2
50,31.2911840234,31.2,,,9.7,1
51,30.5858226881,30.5,,,9.8,2
52,29.9132421077,29.9,,,9.9,2
53,29.270683981,29.2,,,10,1
54,28.6550287642,28.6,,,10.1,3
55,28.066220392,28,,,10.2,1
56,27.4999222448,27.4,,,10.3,1
57,26.9532360949,26.9,,,10.4,2
58,26.4302623009,26.4,,,10.5,2
59,25.9252080546,25.9,,,10.6,1
60,25.4429351988,25.4,,,10.7,1
61,24.9791809385,24.9,,,10.8,1
62,24.5258214474,24.5,,,10.9,1
63,24.0898583902,24,,,11,3
64,23.6696928628,23.6,,,11.1,1
65,23.2661467658,23.2,,,11.2,1
66,22.8743784617,22.8,,,11.3,2
67,22.4974246446,22.4,,,11.4,3
68,22.130965134,22.1,,,11.5,1
69,21.7765854287,21.7,,,11.6,1
70,21.4310751445,21.4,,,11.7,2
71,21.0951661703,21,,,11.8,1
72,20.7742968046,20.7,,,11.9,1
73,20.4635316119,20.4,,,12,2
74,20.1592434995,20.1,,,12.1,2
75,19.8644129313,19.8,,,12.3,1
76,19.5782322179,19.5,,,12.4,1
77,19.300580498,19.3,,,12.5,1
78,19.0315550485,19,,,12.6,2
79,18.7656770194,18.7,,,12.7,1
80,18.510195936,18.5,,,12.8,1
81,18.2604138047,18.2,,,13,1
82,18.0177072739,18,,,13.1,2
83,17.7797384048,17.7,,,13.2,2
84,17.5502240961,17.5,,,13.3,2
85,17.326410268,17.3,,,13.5,1
86,17.1086683052,17.1,,,13.6,1
87,16.895067414,16.8,,,13.8,1
88,16.6874471297,16.6,,,13.9,1
89,16.4849714604,16.4,,,14,1
90,16.284122379,16.2,,,14.1,1
91,16.0906875212,16,,,14.2,2
92,15.9012030231,15.9,,,14.3,1
93,15.7179136848,15.7,,,14.5,1
94,15.5394527389,15.5,,,14.6,1
95,15.3629751077,15.3,,,14.8,1
96,15.1914432115,15.1,,,15,1
97,15.0232143928,15,,,15.1,1
98,14.859233375,14.8,,,15.3,1
99,14.6995388195,14.6,,,15.5,1
100,14.5416489872,14.5,,,15.7,2
101,14.3884705909,14.3,,,15.9,2
102,14.2372064562,14.2,,,16,2
103,14.0905328689,14,,,16.1,1
104,13.9444996062,13.9,,,16.2,2
105,13.8022494263,13.8,,,16.3,1
106,13.6638122883,13.6,,,16.4,3
107,13.5285766433,13.5,,,16.5,1
108,13.3961119918,13.3,,,16.6,2
109,13.2650654764,13.2,,,16.7,1
110,13.1347229334,13.1,,,16.8,2
111,13.0090103029,13,,,16.9,1
112,12.8861143577,12.8,,,17,1
113,12.765463183,12.7,,,17.1,2
114,12.6464052077,12.6,,,17.2,1
115,12.528650315,12.5,,,17.3,2
116,12.4124459877,12.4,,,17.4,1
117,12.3004900541,12.3,,,17.5,2
118,12.1901285253,12.1,,,17.6,1
119,12.081439478,12,,,17.7,2
120,11.9752882879,11.9,,,17.8,1
121,11.8721620094,11.8,,,17.9,1
122,11.7688318027,11.7,,,18,2
123,11.6676086827,11.6,,,18.1,1
124,11.5668962437,11.5,,,18.2,2
125,11.4682227947,11.4,,,18.3,1
126,11.3731812923,11.3,,,18.4,1
127,11.2786745008,11.2,,,18.5,2
128,11.1861278183,11.1,,,18.7,2
129,11.0938547756,11,,,18.8,1
130,11.0037734215,11,,,18.9,1
131,10.915566424,10.9,,,19,2
132,10.8274619823,10.8,,,19.1,1
133,10.7418378204,10.7,,,19.2,1
134,10.6585256269,10.6,,,19.3,1
135,10.5753694803,10.5,,,19.4,1
136,10.4945266137,10.4,,,19.5,2
