0,0
1,0
2,0
3,0
4,1
5,1
6,2
7,2
8,3
9,4
10,5
11,6
12,7
13,7
14,9
15,11
16,13
17,15
18,17
19,19
20,21
21,23
22,26
23,29
24,33
25,37
26,41
27,46
28,51
29,55
30,62
31,68
32,74
33,81
34,89
35,98
36,106
37,115
38,124
39,137
40,149
41,164
42,178
43,193
44,212
45,230
46,249
47,271
48,294
49,320
50,349
51,380
52,412
53,447
54,485
55,526
56,571
57,618
58,670
59,730
60,795
61,862
62,934
63,1009
64,1087
65,1177
66,1272
67,1375
68,1484
69,1607
70,1730
71,1862
72,2010
73,2163
74,2332
75,2506
76,2700
77,2905
78,3126
79,3360
80,3608
81,3870
82,4152
83,4449
84,4756
85,5093
86,5441
87,5817
88,6204
89,6617
90,7036
91,7477
92,7943
93,8432
94,8934
95,9460
96,9999
97,10559
98,11145
99,11734
