5-1-0.01-0.01,0.9986652348587837,20,109
10-1-0.01-0.01,0.9990770607897134,29,481
15-1-0.01-0.01,0.9996547864790056,40,951
5-100-0.01-0.01,0.9991648514605413,22,106
10-100-0.01-0.01,0.9995984561279723,25,424
15-100-0.01-0.01,0.9997581569311164,42,995
5-1-0.1-0.01,0.999283821007727,14,97
10-1-0.1-0.01,0.9997410799010105,27,434
15-1-0.1-0.01,0.9997986333218453,42,969
5-100-0.1-0.01,0.9986662869867448,14,92
10-100-0.1-0.01,0.9994615488775349,29,421
15-100-0.1-0.01,0.9996960668564276,42,974
5-1-1-0.01,0.9966919394876715,16,109
10-1-1-0.01,0.9996519396064119,27,425
15-1-1-0.01,0.9995460258635187,48,1016
5-100-1-0.01,0.995047585882072,14,114
10-100-1-0.01,0.9996008475975385,27,422
15-100-1-0.01,0.9997216654032581,42,1028
5-1-0.01-0.1,0.9978839794839327,14,105
10-1-0.01-0.1,0.999091172664721,33,450
15-1-0.01-0.1,0.99972430190352,36,988
5-100-0.01-0.1,0.9988924856613309,16,109
10-100-0.01-0.1,0.9996176907598555,27,428
15-100-0.01-0.1,0.9998060786188742,46,970
5-1-0.1-0.1,0.9992720101894654,14,97
10-1-0.1-0.1,0.9996213804024234,27,447
15-1-0.1-0.1,0.9996701055784013,50,954
5-100-0.1-0.1,0.9972852056970115,16,109
10-100-0.1-0.1,0.9993989107571319,25,419
15-100-0.1-0.1,0.9997703139074023,38,989
5-1-1-0.1,0.9993001361714985,16,103
10-1-1-0.1,0.9989984682542108,25,392
15-1-1-0.1,0.9997470992766363,40,1009
5-100-1-0.1,0.9983138606777869,16,101
10-100-1-0.1,0.9996226355961536,25,439
15-100-1-0.1,0.9994934933007957,42,1019
5-1-0.01-1,0.9931086134536605,18,117
10-1-0.01-1,0.9982583272474083,27,375
15-1-0.01-1,0.9997735844829905,40,973
5-100-0.01-1,0.9991462810893653,14,97
10-100-0.01-1,0.9996738353299599,27,445
15-100-0.01-1,0.9997720624146886,40,975
5-1-0.1-1,0.9993201167167199,14,97
10-1-0.1-1,0.9995963011051151,23,428
15-1-0.1-1,0.8007532563244921,46,928
5-100-0.1-1,0.9991421478630677,18,98
10-100-0.1-1,0.9996471854322918,23,429
15-100-0.1-1,0.2975449055724532,42,972
5-1-1-1,0.9960585258544583,14,123
10-1-1-1,0.9996225614058625,27,414
15-1-1-1,0.8117910830129101,40,976
5-100-1-1,0.9893833219713293,14,125
10-100-1-1,0.9994883968869663,27,427
15-100-1-1,0.9996903888554747,40,999
