0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,2
21,2
22,3
23,3
24,3
25,4
26,4
27,5
28,5
29,6
30,7
31,7
32,8
33,9
34,9
35,10
36,11
37,12
38,14
39,15
40,16
41,17
42,18
43,19
44,21
45,22
46,24
47,26
48,29
49,31
50,34
51,36
52,39
53,42
54,45
55,48
56,51
57,55
58,59
59,64
60,68
61,72
62,79
63,85
64,91
65,98
66,107
67,114
68,122
69,132
70,142
71,152
72,164
73,176
74,189
75,203
76,215
77,230
78,246
79,263
80,284
81,305
82,327
83,349
84,373
85,401
86,429
87,459
88,492
89,528
90,567
91,610
92,656
93,703
94,752
95,805
96,864
97,926
98,994
99,1061
