0,0
1,0
2,0
3,0
4,0
5,1
6,2
7,2
8,4
9,5
10,7
11,9
12,12
13,16
14,20
15,26
16,33
17,41
18,52
19,67
20,83
21,105
22,134
23,165
24,205
25,256
26,320
27,395
28,495
29,610
30,753
31,929
32,1140
33,1391
34,1684
35,2030
36,2431
37,2896
38,3426
39,4018
40,4659
41,5353
42,6093
43,6880
44,7698
45,8541
46,9411
47,10302
48,11209
49,12125
50,13045
51,13968
52,14901
53,15831
54,16752
55,17664
56,18560
57,19441
58,20315
59,21192
60,22056
61,22913
62,23759
63,24591
64,25412
65,26223
66,27033
67,27840
68,28654
69,29464
70,30278
71,31089
72,31901
73,32714
74,33523
75,34335
76,35145
77,35960
78,36767
79,37576
80,38383
81,39185
82,39991
83,40802
84,41607
85,42421
86,43223
87,44027
88,44837
89,45641
90,46447
91,47260
92,48067
93,48869
94,49670
95,50473
96,51279
97,52082
98,52888
99,53685
