0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,2
18,2
19,3
20,3
21,4
22,5
23,6
24,8
25,10
26,12
27,15
28,18
29,24
30,30
31,36
32,47
33,59
34,73
35,89
36,111
37,138
38,172
39,213
40,263
41,323
42,394
43,478
44,577
45,695
46,833
47,992
48,1172
49,1376
50,1610
51,1863
52,2140
53,2442
54,2762
55,3098
56,3457
57,3838
58,4241
59,4652
60,5083
61,5529
62,5996
63,6480
64,6971
65,7485
66,8013
67,8546
68,9089
69,9646
70,10223
71,10807
72,11392
73,11990
74,12596
75,13210
76,13835
77,14467
78,15112
79,15768
80,16426
81,17092
82,17772
83,18461
84,19163
85,19867
86,20579
87,21294
88,22010
89,22739
90,23473
91,24215
92,24955
93,25704
94,26457
95,27217
96,27983
97,28752
98,29519
99,30294
