0,0
1,102
2,294
3,563
4,903
5,1307
6,1776
7,2296
8,2875
9,3509
10,4198
11,4939
12,5722
13,6570
14,7461
15,8400
16,9357
17,10361
18,11419
19,12512
20,13640
21,14810
22,16013
23,17241
24,18512
25,19827
26,21180
27,22546
28,23952
29,25410
30,26886
31,28395
32,29916
33,31498
34,33083
35,34720
36,36361
37,38044
38,39762
39,41494
40,43256
41,45054
42,46851
43,48681
44,50521
45,52401
46,54306
47,56229
48,58170
49,60138
50,62131
51,64143
52,66170
53,68221
54,70294
55,72395
56,74514
57,76636
58,78790
59,80949
60,83131
61,85355
62,87575
63,89824
64,92080
65,94340
66,96646
67,98963
68,101285
69,103636
70,105990
71,108359
72,110750
73,113152
74,115570
75,118016
76,120448
77,122902
78,125376
79,127866
80,130349
81,132837
82,135371
83,137913
84,140469
85,143026
86,145582
87,148175
88,150757
89,153355
90,155972
91,158605
92,161231
93,163867
94,166521
95,169193
96,171881
97,174579
98,177294
99,180013
